0, 28, -84, 99
1, 29, -80, 96
2, 30, -78, 102
3, 31, -86, 89
4, 32, -73, 106
5, 33, -72, 106
6, 34, -71, 107
7, 35, -68, 108
8, 36, -67, 107
9, 37, -68, 108
10, 38, -87, 78
11, 39, -79, 107
12, 40, -75, 104
13, 41, -72, 107
14, 42, -73, 106
15, 43, -75, 106
16, 44, -82, 107
17, 45, -84, 107
18, 46, -79, 101
19, 47, -78, 106
20, 48, -78, 103
21, 49, -78, 102
22, 50, -86, 105
24, 52, -72, 107
25, 53, -76, 107
26, 54, -80, 89
27, 55, -77, 106
28, 56, -72, 107
29, 57, -81, 102
30, 58, -69, 108
31, 59, -81, 107
32, 60, -78, 76
33, 61, -75, 106
34, 62, -78, 108
35, 63, -70, 108
36, 64, -75, 106
37, 65, -81, 108
38, 66, -84, 106
39, 67, -77, 106
40, 68, -86, 84
41, 69, -80, 105
42, 70, -70, 106
43, 71, -68, 108
44, 72, -72, 107
45, 73, -77, 107
46, 74, -71, 107
47, 75, -69, 108
48, 76, -66, 107
49, 77, -75, 108
50, 78, -85, 107
51, 79, -74, 106
52, 80, -74, 106
53, 81, -77, 108
54, 82, -75, 106
55, 83, -76, 105
56, 84, -86, 105
57, 85, -86, 101
58, 86, -81, 101
59, 87, -73, 106
60, 88, -78, 106
61, 89, -73, 107
62, 90, -72, 106
63, 91, -72, 107
64, 92, -81, 106
65, 93, -73, 106
66, 94, -86, 94
67, 95, -80, 108
68, 96, -73, 106
69, 97, -74, 106
70, 98, -78, 93
71, 99, -76, 105
72, 100, -87, 106
73, 101, -78, 104
