1, 1000000, -30, 225
2, 1000001, -40, 159
3, 1000002, -81, 2
4, 1000003, -44, 104
5, 1000004, -30, 125
6, 1000005, -91, 47
7, 1000006, -58, 88
8, 1000007, -54, 61
9, 1000008, -87, 90
10, 1000009, -91, 20
11, 1000010, -51, 158
12, 1000011, -77, 176
13, 1000012, -70, 46
14, 1000013, -46, 231
15, 1000014, -90, 159
16, 1000015, -93, 55
17, 1000016, -39, 159
18, 1000017, -73, 82
19, 1000018, -81, 163
20, 1000019, -53, 204
21, 1000020, -97, 39
22, 1000021, -51, 192
23, 1000022, -87, 178
24, 1000023, -96, 33
25, 1000024, -45, 142
26, 1000025, -78, 226
27, 1000026, -51, 244
28, 1000027, -72, 62
29, 1000028, -49, 186
30, 1000029, -84, 230
31, 1000030, -82, 237
32, 1000031, -56, 152
33, 1000032, -66, 112
34, 1000033, -31, 115
35, 1000034, -45, 249
36, 1000035, -49, 100
37, 1000036, -93, 118
38, 1000037, -36, 110
39, 1000038, -32, 40
40, 1000039, -81, 139
41, 1000040, -80, 179
42, 1000041, -83, 67
43, 1000042, -97, 165
44, 1000043, -49, 244
45, 1000044, -41, 215
46, 1000045, -84, 191
47, 1000046, -100, 63
48, 1000047, -70, 54
49, 1000048, -76, 254
50, 1000049, -90, 96
51, 1000050, -60, 221
52, 1000051, -76, 239
53, 1000052, -60, 45
54, 1000053, -98, 233
55, 1000054, -42, 108
56, 1000055, -57, 37
57, 1000056, -86, 103
58, 1000057, -66, 15
59, 1000058, -38, 50
60, 1000059, -62, 244
61, 1000060, -61, 52
62, 1000061, -56, 78
63, 1000062, -53, 7
64, 1000063, -76, 183
65, 1000064, -59, 74
66, 1000065, -66, 1
67, 1000066, -39, 84
68, 1000067, -54, 37
69, 1000068, -90, 103
70, 1000069, -58, 180
71, 1000070, -68, 235
72, 1000071, -34, 174
73, 1000072, -74, 85
74, 1000073, -37, 124
75, 1000074, -83, 57
76, 1000075, -89, 65
77, 1000076, -51, 219
78, 1000077, -52, 192
79, 1000078, -91, 224
80, 1000079, -44, 82
81, 1000080, -73, 136
82, 1000081, -87, 80
83, 1000082, -95, 87
84, 1000083, -32, 7
85, 1000084, -82, 215
86, 1000085, -63, 30
87, 1000086, -56, 244
88, 1000087, -51, 14
89, 1000088, -87, 200
90, 1000089, -42, 90
91, 1000090, -93, 208
92, 1000091, -99, 72
93, 1000092, -87, 206
94, 1000093, -40, 205
95, 1000094, -43, 35
96, 1000095, -38, 213
97, 1000096, -58, 178
98, 1000097, -77, 236
99, 1000098, -41, 216
100, 1000099, -78, 183
101, 1000100, -60, 184
102, 1000101, -67, 224
103, 1000102, -75, 1
104, 1000103, -58, 158
105, 1000104, -45, 236
106, 1000105, -61, 47
107, 1000106, -51, 201
108, 1000107, -50, 86
109, 1000108, -99, 20
110, 1000109, -58, 208
111, 1000110, -87, 196
112, 1000111, -100, 206
113, 1000112, -43, 112
114, 1000113, -47, 182
115, 1000114, -36, 102
116, 1000115, -41, 251
117, 1000116, -57, 159
118, 1000117, -94, 227
119, 1000118, -51, 164
120, 1000119, -64, 237
121, 1000120, -36, 111
122, 1000121, -53, 192
123, 1000122, -81, 128
124, 1000123, -34, 133
125, 1000124, -90, 244
126, 1000125, -53, 174
127, 1000126, -75, 135
128, 1000127, -59, 196
129, 1000128, -72, 72
130, 1000129, -77, 76
131, 1000130, -61, 175
132, 1000131, -62, 76
133, 1000132, -56, 15
134, 1000133, -62, 119
135, 1000134, -81, 23
136, 1000135, -36, 0
137, 1000136, -85, 2
138, 1000137, -61, 44
139, 1000138, -98, 217
140, 1000139, -88, 211
141, 1000140, -66, 89
142, 1000141, -76, 246
143, 1000142, -78, 32
144, 1000143, -96, 222
145, 1000144, -59, 189
146, 1000145, -36, 24
147, 1000146, -34, 27
148, 1000147, -57, 186
149, 1000148, -54, 125
150, 1000149, -40, 173
151, 1000150, -91, 155
152, 1000151, -73, 51
153, 1000152, -39, 6
154, 1000153, -68, 31
155, 1000154, -89, 50
156, 1000155, -71, 75
157, 1000156, -96, 49
158, 1000157, -66, 87
159, 1000158, -57, 201
160, 1000159, -42, 143
161, 1000160, -41, 44
162, 1000161, -55, 177
163, 1000162, -73, 157
164, 1000163, -76, 79
